time,issue_id,event_id,type,author,action,url
2025-01-20 14:18:24+00:00,4,15999641848,label,NicolasToussaint,labeled Usage Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/4
2025-01-20 14:18:21+00:00,3,15999641159,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/3
2025-01-20 14:18:21+00:00,3,15999641167,label,NicolasToussaint,labeled Team Leader,https://github.com/NicolasToussaint/my-ggi-board/issues/3
2025-01-20 14:18:21+00:00,3,15999641176,label,NicolasToussaint,labeled Usage Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/3
2025-01-20 14:18:18+00:00,2,15999640504,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/2
2025-01-20 14:18:18+00:00,2,15999640513,label,NicolasToussaint,labeled Team Leader,https://github.com/NicolasToussaint/my-ggi-board/issues/2
2025-01-20 14:18:18+00:00,2,15999640519,label,NicolasToussaint,labeled Usage Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/2
2025-01-20 14:18:15+00:00,1,15999639815,label,NicolasToussaint,labeled Developer,https://github.com/NicolasToussaint/my-ggi-board/issues/1
2025-01-20 14:18:15+00:00,1,15999639824,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/1
2025-01-20 14:18:15+00:00,1,15999639833,label,NicolasToussaint,labeled Team Leader,https://github.com/NicolasToussaint/my-ggi-board/issues/1
2025-01-20 14:18:15+00:00,1,15999639839,label,NicolasToussaint,labeled Usage Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/1
